fecha,villa victoria Almacenamiento,villa victoria porcentaje Almacenamiento,villa victoria lluvia,valle de bravo Almacenamiento,valle de bravo porcentaje Almacenamiento,valle de bravo lluvia,el bosque Almacenamiento,el bosque porcentaje Almacenamiento,el bosque lluvia,suma almacenamiento,almacenamiento,
01/08/2016,144.79,77.96,3,334.367,84.78,1.5,146.44,72.35,19.5,"625,597,000",79.95,
02/08/2016,145.341,78.25,11,334.714,84.87,2,147.91,73.08,5.5,"627,965,000",80.25,
03/08/2016,146.716,78.99,7,334.886,84.91,0,149.48,73.85,12,"631,082,000",80.65,
04/08/2016,146.716,78.99,0,335.231,85,0,150.74,74.48,0,"632,687,000",80.85,
05/08/2016,146.716,78.99,0,335.403,85.04,0,151.55,74.88,0,"633,669,000",80.98,
06/08/2016,146.441,78.85,5,335.403,85.04,2,152.36,75.28,3,"634,204,000",81.05,
07/08/2016,146.716,78.99,13.5,336.943,85.43,46,153.44,75.81,26,"637,099,000",81.42,
08/08/2016,146.716,78.99,2.8,337.791,85.65,2,154.7,76.43,2.3,"639,207,000",81.69,
09/08/2016,147.541,79.44,15,338.634,85.86,20.5,155.78,76.97,14,"641,955,000",82.04,
10/08/2016,147.816,79.59,4,339.641,86.12,3.3,157.13,77.63,0,"644,587,000",82.37,
11/08/2016,148.642,80.03,9.2,340.642,86.37,0,157.682,77.91,0,"646,966,000",82.68,
12/08/2016,149.192,80.33,17,341.307,86.54,0.5,158.904,78.51,1.3,"649,403,000",82.99,
13/08/2016,149.467,80.47,4,341.969,86.71,0,159.844,78.97,0,"651,280,000",83.23,
14/08/2016,149.192,80.33,0,342.3,86.79,0,161.442,79.76,0,"652,934,000",83.44,
15/08/2016,149.192,80.33,0,342.959,86.96,4.7,162.476,80.27,0,"654,627,000",83.66,
16/08/2016,150.017,80.77,32,343.78,87.17,2.2,164.168,81.11,40,"657,965,000",84.08,
17/08/2016,150.842,81.22,56,345.577,87.62,44,166.518,82.27,29.5,"662,937,000",84.72,
18/08/2016,151.667,81.66,1,347.037,87.99,0,168.9,83.45,0,"667,604,000",85.31,
19/08/2016,153.318,82.55,6.7,348.328,88.32,15,171.1,84.54,48,"672,746,000",85.97,
20/08/2016,154.143,82.99,7,349.292,88.57,1,172.8,85.38,5.7,"676,235,000",86.42,
21/08/2016,155.243,83.58,5,350.414,88.85,21.5,174.5,86.22,0,"680,157,000",86.92,
22/08/2016,155.519,83.73,3,351.052,89.01,2,175.8,86.86,3.3,"682,371,000",87.2,
23/08/2016,156.894,84.47,16.8,351.69,89.17,9.5,176.908,87.41,19.2,"685,492,000",87.6,
24/08/2016,157.169,84.62,0,352.008,89.25,0,179.284,88.58,0,"688,461,000",87.98,
25/08/2016,157.719,84.92,0,352.644,89.42,0,180.904,89.38,3.8,"691,267,000",88.34,
26/08/2016,158.269,85.21,13,352.961,89.5,0,182.632,90.23,0,"693,862,000",88.67,
27/08/2016,159.095,85.66,4,353.437,89.62,7,184.576,91.19,4,"697,108,000",89.08,
28/08/2016,159.92,86.1,3.3,353.911,89.74,12,185.548,91.67,0,"699,379,000",89.38,
29/08/2016,161.02,86.7,30,354.543,89.9,4,187.6,92.69,3,"703,163,000",89.86,
30/08/2016,161.295,86.84,0,355.017,90.02,1,189.07,93.41,8.7,"705,382,000",90.14,
31/08/2016,161.295,86.84,0,355.489,90.14,0,189.952,93.85,0,"706,736,000",90.32,
