fecha,villa victoria Almacenamiento,villa victoria porcentaje Almacenamiento,villa victoria lluvia,valle de bravo Almacenamiento,valle de bravo porcentaje Almacenamiento,valle de bravo lluvia,el bosque Almacenamiento,el bosque porcentaje Almacenamiento,el bosque lluvia,suma almacenamiento,almacenamiento
01/02/2021,91.215,49.11,0,250.138,63.42,0,108.36,53.54,0,449713000,57.47
02/02/2021,90.583,48.77,0,250.138,63.42,0,107.4,53.06,0,448121000,57.27
03/02/2021,90.162,48.54,0,249.496,63.26,0,106.6,52.67,0,446258000,57.03
04/02/2021,89.741,48.32,0,249.496,63.26,0,105.88,52.31,0,445117000,56.88
05/02/2021,89.321,48.09,0,249.335,63.22,0,105.64,52.19,0,444296000,56.78
06/02/2021,88.268,47.52,0,249.335,63.22,0,105.56,52.15,0,443163000,56.63
07/02/2021,87.637,47.18,0,249.174,63.18,0,105.4,52.08,0,442211000,56.51
08/02/2021,87.216,46.96,0,249.174,63.18,0,105.32,52.04,0,441710000,56.45
09/02/2021,86.374,46.5,0,248.851,63.1,0,105.32,52.04,0,440545000,56.3
10/02/2021,85.743,46.17,0,248.365,62.97,0,105.24,52,0,439348000,56.15
11/02/2021,84.901,45.71,0,248.039,62.89,0,104.92,51.84,0,437860000,55.96
12/02/2021,84.269,45.37,0,248.039,62.89,0,104.12,51.44,0,436428000,55.77
13/02/2021,83.638,45.03,0,247.549,62.77,0,103.116,50.95,0,434303000,55.5
14/02/2021,83.007,44.69,0,247.549,62.77,0,102.28,50.53,0,432836000,55.31
15/02/2021,82.375,44.35,0,247.549,62.77,0,101.444,50.12,0,431368000,55.13
16/02/2021,81.744,44.01,0,247.549,62.77,0,100.532,49.67,0,429825000,54.93
17/02/2021,80.902,43.56,0,248.202,62.93,0,99.696,49.26,0,428800000,54.8
18/02/2021,80.271,43.22,0,248.202,62.93,0,98.936,48.88,0,427409000,54.62
19/02/2021,79.639,42.88,0,248.202,62.93,0,98.86,48.84,0,426701000,54.53
20/02/2021,79.008,42.54,0,247.549,62.77,0,98.708,48.77,0,425265000,54.35
21/02/2021,78.377,42.2,0,247.057,62.64,0,98.632,48.73,0,424066000,54.19
22/02/2021,77.535,41.75,0,246.397,62.48,0,98.556,48.69,0,422488000,53.99
23/02/2021,77.114,41.52,0,246.065,62.39,0,98.404,48.62,0,421583000,53.87
24/02/2021,77.114,41.52,0,245.231,62.18,0,98.404,48.62,0,420749000,53.77
25/02/2021,76.693,41.29,0,244.389,61.97,0,98.176,48.51,0,419258000,53.58
26/02/2021,76.482,41.18,0,243.711,61.79,0,97.188,48.02,0,417381000,53.34
27/02/2021,76.272,41.07,0,243.711,61.79,0,96.276,47.57,0,416259000,53.19
28/02/2021,76.062,40.95,0,242.855,61.58,0,95.47,47.17,0,414387000,52.96
