fecha,villa victoria Almacenamiento,villa victoria porcentaje Almacenamiento,villa victoria lluvia,valle de bravo Almacenamiento,valle de bravo porcentaje Almacenamiento,valle de bravo lluvia,el bosque Almacenamiento,el bosque porcentaje Almacenamiento,el bosque lluvia,suma almacenamiento,almacenamiento,
01/05/2018,109.32,58.86,10.7,312.976,79.36,12.4,74.072,36.6,2,"496,368,000",63.43,
02/05/2018,108.15,58.23,0,312.219,79.17,0,73.688,36.41,0,"494,057,000",63.14,
03/05/2018,107.448,57.85,0,312.219,79.17,7.7,73.432,36.28,0,"493,099,000",63.01,
04/05/2018,107.448,57.85,23,312.219,79.17,8.5,73.24,36.19,6.9,"492,907,000",62.99,
05/05/2018,107.448,57.85,16.4,312.219,79.17,22.3,73.176,36.15,9,"492,843,000",62.98,
06/05/2018,106.746,57.47,0,312.219,79.17,1,73.56,36.34,15,"492,525,000",62.94,
07/05/2018,106.279,57.22,12,312.597,79.26,9.1,73.688,36.41,3,"492,564,000",62.95,
08/05/2018,106.045,57.1,18,312.597,79.26,13.5,74.2,36.66,5,"492,842,000",62.98,
09/05/2018,105.811,56.97,0,312.787,79.31,28.9,74.273,36.7,5,"492,871,000",62.99,
10/05/2018,105.343,56.72,0,312.787,79.31,0,74.2,36.66,0,"492,330,000",62.92,
11/05/2018,105.109,56.59,0,312.408,79.21,0,74.346,36.73,0,"491,863,000",62.86,
12/05/2018,104.875,56.47,0,311.841,79.07,1,74.492,36.8,0,"491,208,000",62.77,
13/05/2018,104.641,56.34,0,311.276,78.93,8.9,74.638,36.88,2,"490,555,000",62.69,
14/05/2018,104.641,56.34,7.5,310.899,78.83,1,74.857,36.98,0,"490,397,000",62.67,
15/05/2018,103.939,55.96,0,310.149,78.64,0,75.076,37.09,0,"489,164,000",62.51,
16/05/2018,103.237,55.58,0,309.4,78.45,0,75.149,37.13,0,"487,786,000",62.34,
17/05/2018,103.003,55.46,0,308.654,78.26,0,75.149,37.13,0,"486,806,000",62.21,
18/05/2018,102.536,55.21,0,307.911,78.07,0,75.076,37.09,0,"485,523,000",62.05,
19/05/2018,102.068,54.95,0,306.8,77.79,0,74.93,37.02,0,"483,798,000",61.83,
20/05/2018,101.834,54.83,0,306.063,77.6,0,74.857,36.98,0,"482,754,000",61.69,
21/05/2018,101.834,54.83,13.7,305.145,77.37,0,74.784,36.95,4,"481,763,000",61.57,
22/05/2018,101.834,54.83,0,304.231,77.14,0,74.565,36.84,0,"480,630,000",61.42,
23/05/2018,101.366,54.58,0,303.504,76.96,4.8,74.492,36.8,1.5,"479,362,000",61.26,
24/05/2018,100.898,54.32,0,302.96,76.82,0,74.492,36.8,0,"478,350,000",61.13,
25/05/2018,100.43,54.07,0,302.236,76.63,0,74.346,36.73,0,"477,012,000",60.96,
26/05/2018,99.962,53.82,0,301.516,76.45,0,74.273,36.7,0,"475,751,000",60.8,
27/05/2018,99.495,53.57,0,300.62,76.22,0,74.273,36.7,0,"474,388,000",60.62,
28/05/2018,99.027,53.32,0,299.551,75.95,0,74.136,36.63,0,"472,714,000",60.41,
29/05/2018,98.793,53.19,0,298.664,75.73,0,74.072,36.6,0,"471,529,000",60.26,
30/05/2018,98.325,52.94,0,297.608,75.46,0,73.944,36.53,0,"469,877,000",60.05,
31/05/2018,97.857,52.69,0,296.733,75.24,0,73.88,36.5,0,"468,470,000",59.87,
