fecha,villa victoria Almacenamiento,villa victoria porcentaje Almacenamiento,villa victoria lluvia,valle de bravo Almacenamiento,valle de bravo porcentaje Almacenamiento,valle de bravo lluvia,el bosque Almacenamiento,el bosque porcentaje Almacenamiento,el bosque lluvia,suma almacenamiento,almacenamiento,
01/11/2017,169.273,91.14,0,362.341,91.87,0,198.72,98.18,0,"730,334,000",93.33,
02/11/2017,169.273,91.14,0,362.497,91.91,0,198.375,98.01,0,"730,145,000",93.31,
03/11/2017,168.997,90.99,0,362.653,91.95,0,198.03,97.84,0,"729,680,000",93.25,
04/11/2017,168.447,90.69,0,362.811,91.99,0,197.302,97.48,0,"728,560,000",93.1,
05/11/2017,168.172,90.55,0,362.811,91.99,0,196.91,97.29,0,"727,893,000",93.02,
06/11/2017,167.897,90.4,0,362.811,91.99,0,196.616,97.14,0,"727,324,000",92.95,
07/11/2017,167.622,90.25,0,362.811,91.99,0,196.126,96.9,0,"726,559,000",92.85,
08/11/2017,167.622,90.25,0,362.811,91.99,0,195.734,96.71,0,"726,167,000",92.8,
09/11/2017,167.347,90.1,0,362.811,91.99,0,195.342,96.51,0,"725,500,000",92.71,
10/11/2017,167.072,89.95,0,362.811,91.99,0,194.852,96.27,0,"724,735,000",92.62,
11/11/2017,167.072,89.95,0,362.811,91.99,0,194.362,96.03,0,"724,245,000",92.55,
12/11/2017,166.797,89.81,0,362.653,91.95,0,193.97,95.83,0,"723,420,000",92.45,
13/11/2017,166.797,89.81,0,362.341,91.87,0,193.578,95.64,0,"722,716,000",92.36,
14/11/2017,166.522,89.66,0,362.186,91.83,0,193.088,95.4,0,"721,796,000",92.24,
15/11/2017,166.247,89.51,0,362.032,91.8,0,192.402,95.06,0,"720,681,000",92.1,
16/11/2017,165.972,89.36,0,361.721,91.72,0,191.912,94.82,0,"719,605,000",91.96,
17/11/2017,165.696,89.21,0,361.576,91.68,0,191.422,94.58,0,"718,694,000",91.84,
18/11/2017,165.421,89.06,0,361.277,91.6,0,190.932,94.33,0,"717,630,000",91.71,
19/11/2017,165.146,88.92,0,361.128,91.57,0,190.442,94.09,0,"716,716,000",91.59,
20/11/2017,164.871,88.77,0,360.981,91.53,0,189.756,93.75,0,"715,608,000",91.45,
21/11/2017,164.596,88.62,0,360.835,91.49,0,189.756,93.75,0,"715,187,000",91.4,
22/11/2017,164.321,88.47,0,360.547,91.42,0,189.56,93.66,0,"714,428,000",91.3,
23/11/2017,164.046,88.32,0,359.985,91.28,0,189.364,93.56,0,"713,395,000",91.17,
24/11/2017,163.771,88.18,0,359.712,91.21,0,189.07,93.41,0,"712,553,000",91.06,
25/11/2017,163.496,88.03,0,359.316,91.11,0,188.58,93.17,0,"711,392,000",90.91,
26/11/2017,163.221,87.88,0,358.937,91.01,0,188.09,92.93,0,"710,248,000",90.76,
27/11/2017,162.946,87.73,0,358.697,90.95,0,187.6,92.69,0,"709,243,000",90.64,
28/11/2017,162.671,87.58,0,358.468,90.89,0,187.06,92.42,0,"708,199,000",90.5,
29/11/2017,162.396,87.44,0,358.256,90.84,0,186.52,92.15,0,"707,172,000",90.37,
30/11/2017,162.12,87.29,0,358,90.77,0,185.98,91.89,0,"706,100,000",90.23,
,,,,,,,,,,,,
